Id,Name,Description,Category,Density,ECI_A1A3
2010,"Aluminium General, European Mix, Inc Imports","This data has been derived from the world aluminium LCA's. They have produced LCA reports for Europe, North America and worldwide aluminium. Modelled at worldwide average scrap input of 31%, to avoid market distortions. Modelled with 25.6% extrusions, 55.7% rolled and 18.7% castings. Based upon European production and the import of aluminium consumed in Europe. Module D = -3.13 kg CO₂e per unit. EOL recovery rate of 95%, based upon DU Telft study of European construction sector. With a 2% material loss yield on the scrap recovered.",Aluminium,2700,6.668717531
2011,"Aluminium sheet, European Mix, Inc Imports","This data has been derived from the world aluminium LCA's. They have produced LCA reports for Europe, North America and worldwide aluminium. Modelled at worldwide average scrap input of 31%, to avoid market distortions. Based upon European production and the import of aluminium consumed in Europe. Module D = -3.09 kg CO₂e per unit. EOL recovery rate of 95%, based upon DU Telft study of European construction sector. With a 2% material loss yield on the scrap recovered.",Aluminium,2700,6.581176
2012,"Aluminium foil, European Mix, Inc Imports","This data has been derived from the world aluminium LCA's. They have produced LCA reports for Europe, North America and worldwide aluminium. Modelled at worldwide average scrap input of 31%, to avoid market distortions. Based upon European production and the import of aluminium consumed in Europe. Module D = -3.54 kg CO₂e per unit. EOL recovery rate of 95%, based upon DU Telft study of European construction sector. With a 2% material loss yield on the scrap recovered.",Aluminium,2700,7.468978
2013,"Aluminium extruded profile, European Mix, Inc Imports","This data has been derived from the world aluminium LCA's. They have produced LCA reports for Europe, North America and worldwide aluminium. Modelled at worldwide average scrap input of 31%, to avoid market distortions. Based upon European production and the import of aluminium consumed in Europe. Module D = -3.21 kg CO₂e per unit. EOL recovery rate of 95%, based upon DU Telft study of European construction sector. With a 2% material loss yield on the scrap recovered.",Aluminium,2700,6.825242
2014,"Aluminium, cast, European Mix, Inc Imports","This data has been derived from the world aluminium LCA's. They have produced LCA reports for Europe, North America and worldwide aluminium. Modelled at worldwide average scrap input of 31%, to avoid market distortions. Based upon European production and the import of aluminium consumed in Europe. Module D = -3.12 kg CO₂e per unit. EOL recovery rate of 83%, based upon worldwide global aluminium flow model and for the building and construction sector. With a 2% material loss yield on the scrap recovered.",Aluminium,2700,6.715190088
2015,"Aluminium General, Worldwide","This data has been derived from the world aluminium LCA's. They have produced LCA reports for Europe, North America and worldwide aluminium. Modelled at worldwide average scrap input of 31%, to avoid market distortions. Modelled with 25.6% extrusions, 55.7% rolled and 18.7% castings. Module D = -8.69 kg CO₂e per unit. EOL recovery rate of 83%, based upon worldwide global aluminium flow model and for the building and construction sector. With a 2% material loss yield on the scrap recovered.",Aluminium,2700,13.05553999
2016,"Aluminium sheet, Worldwide","This data has been derived from the world aluminium LCA's. They have produced LCA reports for Europe, North America and worldwide aluminium. Modelled at worldwide average scrap input of 31%, to avoid market distortions.  Module D = -8.69 kg CO₂e per unit. EOL recovery rate of 83%, based upon worldwide global aluminium flow model and for the building and construction sector. With a 2% material loss yield on the scrap recovered.",Aluminium,2700,12.95589499
2017,"Aluminium foil, Worldwide","This data has been derived from the world aluminium LCA's. They have produced LCA reports for Europe, North America and worldwide aluminium. Modelled at worldwide average scrap input of 31%, to avoid market distortions.  Module D = -8.69 kg CO₂e per unit. EOL recovery rate of 83%, based upon worldwide global aluminium flow model and for the building and construction sector. With a 2% material loss yield on the scrap recovered.",Aluminium,2700,13.76689499
2018,"Aluminium extruded profile, Worldwide","This data has been derived from the world aluminium LCA's. They have produced LCA reports for Europe, North America and worldwide aluminium. Modelled at worldwide average scrap input of 31%, to avoid market distortions.  Module D = -8.69 kg CO₂e per unit. EOL recovery rate of 83%, based upon worldwide global aluminium flow model and for the building and construction sector. With a 2% material loss yield on the scrap recovered.",Aluminium,2700,13.17639499
2019,"Aluminium cast, Worldwide","This data has been derived from the world aluminium LCA's. They have produced LCA reports for Europe, North America and worldwide aluminium. Modelled at worldwide average scrap input of 31%, to avoid market distortions.  Module D = -8.69 kg CO₂e per unit. EOL recovery rate of 83%, based upon worldwide global aluminium flow model and for the building and construction sector. With a 2% material loss yield on the scrap recovered.",Aluminium,2700,13.18689499
2020,Aluminium: General European Mix : Inc Imports,"This data has been derived from the world aluminium LCA's. They have produced LCA reports for Europe, North America and worldwide aluminium. Modelled at worldwide average scrap input of 31%, to avoid market distortions. Modelled with 25.6% extrusions, 55.7% rolled and 18.7% castings. Based upon European production and the import of aluminium consumed in Europe. Module D = -3.13 kg CO₂e per unit. EOL recovery rate of 95%, based upon DU Telft study of European construction sector. With a 2% material loss yield on the scrap recovered.",Aluminium,2700,6.668717531
2021,Aluminium : produced in Europe,"This data has been derived from the world aluminium LCA's. They have produced LCA reports for Europe, North America and worldwide aluminium. Modelled at worldwide average scrap input of 31%, to avoid market distortions. This entry doesn’t consider aluminium imported into Europe. The aluminium must be made in Europe. Modelled with 25.6% extrusions, 55.7% rolled and 18.7% castings. Module D = -3.64 kg CO₂e per unit. EOL recovery rate of 83%, based upon worldwide global aluminium flow model and for the building and construction sector. With a 2% material loss yield on the scrap recovered.",Aluminium,2700,5.583938203
2022,Aluminium : General Worldwide,"This data has been derived from the world aluminium LCA's. They have produced LCA reports for Europe, North America and worldwide aluminium. Modelled at worldwide average scrap input of 31%, to avoid market distortions. Modelled with 25.6% extrusions, 55.7% rolled and 18.7% castings. Module D = -8.69 kg CO₂e per unit. EOL recovery rate of 83%, based upon worldwide global aluminium flow model and for the building and construction sector. With a 2% material loss yield on the scrap recovered.",Aluminium,2700,13.05553999
2023,Aluminium : North American,"This data has been derived from the world aluminium LCA's. They have produced LCA reports for Europe, North America and worldwide aluminium. Modelled at worldwide average scrap input of 31%, to avoid market distortions. Modelled with 25.6% extrusions, 55.7% rolled and 18.7% castings. Module D = -3.69 kg CO₂e per unit. EOL recovery rate of 83%, based upon worldwide global aluminium flow model and for the building and construction sector. With a 2% material loss yield on the scrap recovered.",Aluminium,2700,5.651616031
2024,Aluminium : Africa,"This data has been derived from the world aluminium LCA's. They have produced LCA reports for Europe, North America and worldwide aluminium. Modelled at worldwide average scrap input of 31%, to avoid market distortions. Modelled with 25.6% extrusions, 55.7% rolled and 18.7% castings. Module D = -8.65 kg CO₂e per unit. EOL recovery rate of 83%, based upon worldwide global aluminium flow model and for the building and construction sector. With a 2% material loss yield on the scrap recovered.",Aluminium,2700,12.4057499
2025,Aluminium : China,"This data has been derived from the world aluminium LCA's. They have produced LCA reports for Europe, North America and worldwide aluminium. Modelled at worldwide average scrap input of 31%, to avoid market distortions. Modelled with 25.6% extrusions, 55.7% rolled and 18.7% castings. Module D = -10.25 kg CO₂e per unit. EOL recovery rate of 83%, based upon worldwide global aluminium flow model and for the building and construction sector. With a 2% material loss yield on the scrap recovered.",Aluminium,2700,14.59356866
2026,Aluminium : Japan,"This data has been derived from the world aluminium LCA's. They have produced LCA reports for Europe, North America and worldwide aluminium. Modelled at worldwide average scrap input of 31%, to avoid market distortions. Modelled with 25.6% extrusions, 55.7% rolled and 18.7% castings. Module D = -7.34 kg CO₂e per unit. EOL recovery rate of 83%, based upon worldwide global aluminium flow model and for the building and construction sector. With a 2% material loss yield on the scrap recovered.",Aluminium,2700,10.62451254
2027,Aluminium : Middle East,"This data has been derived from the world aluminium LCA's. They have produced LCA reports for Europe, North America and worldwide aluminium. Modelled at worldwide average scrap input of 31%, to avoid market distortions. Modelled with 25.6% extrusions, 55.7% rolled and 18.7% castings. Module D = -7.48 kg CO₂e per unit. EOL recovery rate of 83%, based upon worldwide global aluminium flow model and for the building and construction sector. With a 2% material loss yield on the scrap recovered.",Aluminium,2700,10.80980016
2028,Aluminium : Oceania,"This data has been derived from the world aluminium LCA's. They have produced LCA reports for Europe, North America and worldwide aluminium. Modelled at worldwide average scrap input of 31%, to avoid market distortions. Modelled with 25.6% extrusions, 55.7% rolled and 18.7% castings. Module D = -8.9 kg CO₂e per unit. EOL recovery rate of 83%, based upon worldwide global aluminium flow model and for the building and construction sector. With a 2% material loss yield on the scrap recovered.",Aluminium,2700,12.75208459
2029,Aluminium : Other Asia,"This data has been derived from the world aluminium LCA's. They have produced LCA reports for Europe, North America and worldwide aluminium. Modelled at worldwide average scrap input of 31%, to avoid market distortions. Modelled with 25.6% extrusions, 55.7% rolled and 18.7% castings. Module D = -11.19 kg CO₂e per unit. EOL recovery rate of 83%, based upon worldwide global aluminium flow model and for the building and construction sector. With a 2% material loss yield on the scrap recovered.",Aluminium,2700,15.8690968
2030,Aluminium : Russia,"This data has been derived from the world aluminium LCA's. They have produced LCA reports for Europe, North America and worldwide aluminium. Modelled at worldwide average scrap input of 31%, to avoid market distortions. Modelled with 25.6% extrusions, 55.7% rolled and 18.7% castings. Module D = -3.61 kg CO₂e per unit. EOL recovery rate of 83%, based upon worldwide global aluminium flow model and for the building and construction sector. With a 2% material loss yield on the scrap recovered.",Aluminium,2700,5.548323034
2031,Aluminium : South America,"This data has been derived from the world aluminium LCA's. They have produced LCA reports for Europe, North America and worldwide aluminium. Modelled at worldwide average scrap input of 31%, to avoid market distortions. Modelled with 25.6% extrusions, 55.7% rolled and 18.7% castings. Module D = -5.65 kg CO₂e per unit. EOL recovery rate of 83%, based upon worldwide global aluminium flow model and for the building and construction sector. With a 2% material loss yield on the scrap recovered.",Aluminium,2700,8.319000554
2032,Aluminium : South Korea,"This data has been derived from the world aluminium LCA's. They have produced LCA reports for Europe, North America and worldwide aluminium. Modelled at worldwide average scrap input of 31%, to avoid market distortions. Modelled with 25.6% extrusions, 55.7% rolled and 18.7% castings. Module D = -8.31 kg CO₂e per unit. EOL recovery rate of 83%, based upon worldwide global aluminium flow model and for the building and construction sector. With a 2% material loss yield on the scrap recovered.",Aluminium,2700,11.94685321
2033,Asphalt : 3% (bitumen) binder content (by mass),"Straight run bitumen content by mass. Using ICE DB average aggregates. Cradle to mixed asphalt. Includes asphalt mixing energy (which was estimated based upon MPA sustainable development data, but had to be converted to an all 3 scopes emissions factor - the MPA metrics do not include scope 3 emissions), transport of constituents by road to asphalt plant (assumed 250km for bitumen. 27.7 miles for aggregates [Ref: MPA Sustainable Development Report 2018]) and embodied carbon of ingredients. The transport of mixed asphalt to site is not included, e.g. cradle to mixed asphalt boundary. Density is for compacted asphalt. Embodied carbon of bitumen from EuroBitume, 2012.",Asphalt,2100,50.09113047
2034,Asphalt : 3.5% binder content,"Straight run bitumen content by mass. Using ICE DB average aggregates. Cradle to mixed asphalt. Includes asphalt mixing energy (which was estimated based upon MPA sustainable development data, but had to be converted to an all 3 scopes emissions factor - the MPA metrics do not include scope 3 emissions), transport of constituents by road to asphalt plant (assumed 250km for bitumen. 27.7 miles for aggregates [Ref: MPA Sustainable Development Report 2018]) and embodied carbon of ingredients. The transport of mixed asphalt to site is not included, e.g. cradle to mixed asphalt boundary. Density is for compacted asphalt. Embodied carbon of bitumen from EuroBitume, 2012.",Asphalt,2100,51.12528323
2035,Asphalt : 4% binder content,"Straight run bitumen content by mass. Using ICE DB average aggregates. Cradle to mixed asphalt. Includes asphalt mixing energy (which was estimated based upon MPA sustainable development data, but had to be converted to an all 3 scopes emissions factor - the MPA metrics do not include scope 3 emissions), transport of constituents by road to asphalt plant (assumed 250km for bitumen. 27.7 miles for aggregates [Ref: MPA Sustainable Development Report 2018]) and embodied carbon of ingredients. The transport of mixed asphalt to site is not included, e.g. cradle to mixed asphalt boundary. Density is for compacted asphalt. Embodied carbon of bitumen from EuroBitume, 2012.",Asphalt,2100,52.15943598
2036,Asphalt : 4.5% binder content,"Straight run bitumen content by mass. Using ICE DB average aggregates. Cradle to mixed asphalt. Includes asphalt mixing energy (which was estimated based upon MPA sustainable development data, but had to be converted to an all 3 scopes emissions factor - the MPA metrics do not include scope 3 emissions), transport of constituents by road to asphalt plant (assumed 250km for bitumen. 27.7 miles for aggregates [Ref: MPA Sustainable Development Report 2018]) and embodied carbon of ingredients. The transport of mixed asphalt to site is not included, e.g. cradle to mixed asphalt boundary. Density is for compacted asphalt. Embodied carbon of bitumen from EuroBitume, 2012.",Asphalt,2100,53.19358873
2037,Asphalt : 5% binder content,"Straight run bitumen content by mass. Using ICE DB average aggregates. Cradle to mixed asphalt. Includes asphalt mixing energy (which was estimated based upon MPA sustainable development data, but had to be converted to an all 3 scopes emissions factor - the MPA metrics do not include scope 3 emissions), transport of constituents by road to asphalt plant (assumed 250km for bitumen. 27.7 miles for aggregates [Ref: MPA Sustainable Development Report 2018]) and embodied carbon of ingredients. The transport of mixed asphalt to site is not included, e.g. cradle to mixed asphalt boundary. Density is for compacted asphalt. Embodied carbon of bitumen from EuroBitume, 2012.",Asphalt,2100,54.22774149
2038,Asphalt : 5.5% binder content,"Straight run bitumen content by mass. Using ICE DB average aggregates. Cradle to mixed asphalt. Includes asphalt mixing energy (which was estimated based upon MPA sustainable development data, but had to be converted to an all 3 scopes emissions factor - the MPA metrics do not include scope 3 emissions), transport of constituents by road to asphalt plant (assumed 250km for bitumen. 27.7 miles for aggregates [Ref: MPA Sustainable Development Report 2018]) and embodied carbon of ingredients. The transport of mixed asphalt to site is not included, e.g. cradle to mixed asphalt boundary. Density is for compacted asphalt. Embodied carbon of bitumen from EuroBitume, 2012.",Asphalt,2100,55.26189424
2039,Asphalt : 6% binder content,"Straight run bitumen content by mass. Using ICE DB average aggregates. Cradle to mixed asphalt. Includes asphalt mixing energy (which was estimated based upon MPA sustainable development data, but had to be converted to an all 3 scopes emissions factor - the MPA metrics do not include scope 3 emissions), transport of constituents by road to asphalt plant (assumed 250km for bitumen. 27.7 miles for aggregates [Ref: MPA Sustainable Development Report 2018]) and embodied carbon of ingredients. The transport of mixed asphalt to site is not included, e.g. cradle to mixed asphalt boundary. Density is for compacted asphalt. Embodied carbon of bitumen from EuroBitume, 2012.",Asphalt,2100,56.29604699
2040,Asphalt : 6.5% binder content,"Straight run bitumen content by mass. Using ICE DB average aggregates. Cradle to mixed asphalt. Includes asphalt mixing energy (which was estimated based upon MPA sustainable development data, but had to be converted to an all 3 scopes emissions factor - the MPA metrics do not include scope 3 emissions), transport of constituents by road to asphalt plant (assumed 250km for bitumen. 27.7 miles for aggregates [Ref: MPA Sustainable Development Report 2018]) and embodied carbon of ingredients. The transport of mixed asphalt to site is not included, e.g. cradle to mixed asphalt boundary. Density is for compacted asphalt. Embodied carbon of bitumen from EuroBitume, 2012.",Asphalt,2100,57.33019975
2041,Asphalt : 7% binder content,"Straight run bitumen content by mass. Using ICE DB average aggregates. Cradle to mixed asphalt. Includes asphalt mixing energy (which was estimated based upon MPA sustainable development data, but had to be converted to an all 3 scopes emissions factor - the MPA metrics do not include scope 3 emissions), transport of constituents by road to asphalt plant (assumed 250km for bitumen. 27.7 miles for aggregates [Ref: MPA Sustainable Development Report 2018]) and embodied carbon of ingredients. The transport of mixed asphalt to site is not included, e.g. cradle to mixed asphalt boundary. Density is for compacted asphalt. Embodied carbon of bitumen from EuroBitume, 2012.",Asphalt,2100,58.3643525
2042,Bitumen : Straight-run bitumen,"Source: Eurobitume, 2012. Life cycle inventory, bitumen, 2nd edition, Published by the European Bitumen Association.   The value covers the embodied carbon  excluding embodied carbon from infrastructure (i.e. carbon to make machines that make machines, or embodied carbon of buildings). GWP factors from IPPC AR5 applied, wihtout carbon feedback.",Asphalt,1300,0.19086
2043,Bitumen : Polymer modified bitumen (PMB),"Bitumen with 3.5% SBS polymer. Polymer modified bitumen has a higher embodied carbon due to the higher impact of the polymer. However, the use of a polymer in asphalt mixtures is considered to increase the road lifetime. There wasn't sufficient evidence to place the additional lifetime in numbers. Further research would be needed. PMB is therefore best judged on a whole life basis.  Source: Eurobitume, 2012. Life cycle inventory, bitumen, 2nd edition, Published by the European Bitumen Association.   The value covers the embodied carbon  excluding embodied carbon from infrastructure (i.e. carbon to make machines that make machines, or embodied carbon of buildings). GWP factors from IPPC AR5 applied, without carbon feedback.",Asphalt,1300,0.32629
2044,Bitumen : Bitumen emulsion,"Bitumen emulsion contains a large volume of water, which evaporates during the setting process. The data here is for the quantaity of set bitumen, e.g. after the water has evaporated.   Source: Eurobitume, 2012. Life cycle inventory, bitumen, 2nd edition, Published by the European Bitumen Association.   The value covers the embodied carbon  excluding embodied carbon from infrastructure (i.e. carbon to make machines that make machines, or embodied carbon of buildings). GWP factors from IPPC AR5 applied, without carbon feedback.",Asphalt,1300,0.221666
2045,Brass : General,"Poor data availability. It is believed that the data may be largely dependent upon ore grade.  Poor carbon data, making estimate of embodied carbon difficult.",Metal - Other,8450,2.64
2046,Brass : Virgin,"Poor data availability. It is believed that the data may be largely dependent upon ore grade.  Poor carbon data, making estimate of embodied carbon difficult.",Metal - Other,8450,4.8
2047,Brass : Recycled,"Poor data availability. It is believed that the data may be largely dependent upon ore grade.  Poor carbon data, making estimate of embodied carbon difficult.",Metal - Other,8450,1.2
2048,Bricks : with Mortar 1:3 cement:sand mix (Using CEM I cement),"1900 bricks per m3 of mortar. Mortar uses CEM I, e.g. no cement replacements in the mix. You must consider if this strength of mortar is suitable for your application. Average UK brick weighs 2.13 kg per brick [Source: The Brick Development Association].",Bricks & Block,2000,0.197548427
2049,Bricks : with Mortar 1:4 cement:sand mix (Using CEM I cement),"1900 bricks per m3 of mortar. Mortar uses CEM I, e.g. no cement replacements in the mix. You must consider if this strength of mortar is suitable for your application. Average UK brick weighs 2.13 kg per brick [Source: The Brick Development Association].",Bricks & Block,2000,0.185587827
2050,Bricks : with Mortar 1:5 cement:sand mix (Using CEM I cement),"1900 bricks per m3 of mortar. Mortar uses CEM I, e.g. no cement replacements in the mix. You must consider if this strength of mortar is suitable for your application. Average UK brick weighs 2.13 kg per brick [Source: The Brick Development Association].",Bricks & Block,2000,0.177477722
2051,Bricks : with Mortar 1:6 cement:sand mix (Using CEM I cement),"1900 bricks per m3 of mortar. Mortar uses CEM I, e.g. no cement replacements in the mix. You must consider if this strength of mortar is suitable for your application. Average UK brick weighs 2.13 kg per brick [Source: The Brick Development Association].",Bricks & Block,2000,0.17161652
2052,Bricks : with Mortar (1:½:4½ Cement:Lime:Sand mix) (Using CEM I cement),"1900 bricks per m3 of mortar. Mortar uses CEM I, e.g. no cement replacements in the mix. You must consider if this strength of mortar is suitable for your application. Average UK brick weighs 2.13 kg per brick [Source: The Brick Development Association].",Bricks & Block,2000,0.187563377
2053,Bricks : with Mortar (1:1:6 Cement:Lime:Sand mix) (Using CEM I cement),"1900 bricks per m3 of mortar. Mortar uses CEM I, e.g. no cement replacements in the mix. You must consider if this strength of mortar is suitable for your application. Average UK brick weighs 2.13 kg per brick [Source: The Brick Development Association].",Bricks & Block,2000,0.18197374
2054,Bricks : with Mortar (1:2:9 Cement:Lime:Sand mix) (Using CEM I cement),"1900 bricks per m3 of mortar. Mortar uses CEM I, e.g. no cement replacements in the mix. You must consider if this strength of mortar is suitable for your application. Average UK brick weighs 2.13 kg per brick [Source: The Brick Development Association].",Bricks & Block,2000,0.175919911
2055,Bricks : with Mortar 1:3 cement:sand mix (Using CEM I cement),"1500 bricks per m3 of mortar. Mortar uses CEM I, e.g. no cement replacements in the mix. You must consider if this strength of mortar is suitable for your application. Average UK brick weighs 2.13 kg per brick [Source: The Brick Development Association].",Bricks & Block,2000,0.204826519
2056,Bricks : with Mortar 1:4 cement:sand mix (Using CEM I cement),"1500 bricks per m3 of mortar. Mortar uses CEM I, e.g. no cement replacements in the mix. You must consider if this strength of mortar is suitable for your application. Average UK brick weighs 2.13 kg per brick [Source: The Brick Development Association].",Bricks & Block,2000,0.190381081
2057,Bricks : with Mortar 1:5 cement:sand mix (Using CEM I cement),"1500 bricks per m3 of mortar. Mortar uses CEM I, e.g. no cement replacements in the mix. You must consider if this strength of mortar is suitable for your application. Average UK brick weighs 2.13 kg per brick [Source: The Brick Development Association].",Bricks & Block,2000,0.180586086
2058,Bricks : with Mortar 1:6 cement:sand mix (Using CEM I cement),"1500 bricks per m3 of mortar. Mortar uses CEM I, e.g. no cement replacements in the mix. You must consider if this strength of mortar is suitable for your application. Average UK brick weighs 2.13 kg per brick [Source: The Brick Development Association].",Bricks & Block,2000,0.173507207
2059,Bricks : with Mortar (1:½:4½ Cement:Lime:Sand mix) (Using CEM I cement),"1500 bricks per m3 of mortar. Mortar uses CEM I, e.g. no cement replacements in the mix. You must consider if this strength of mortar is suitable for your application. Average UK brick weighs 2.13 kg per brick [Source: The Brick Development Association].",Bricks & Block,2000,0.192767056
2060,Bricks : with Mortar (1:1:6 Cement:Lime:Sand mix) (Using CEM I cement),"1500 bricks per m3 of mortar. Mortar uses CEM I, e.g. no cement replacements in the mix. You must consider if this strength of mortar is suitable for your application. Average UK brick weighs 2.13 kg per brick [Source: The Brick Development Association].",Bricks & Block,2000,0.18601616
2061,Bricks : with Mortar (1:2:9 Cement:Lime:Sand mix) (Using CEM I cement),"1500 bricks per m3 of mortar. Mortar uses CEM I, e.g. no cement replacements in the mix. You must consider if this strength of mortar is suitable for your application. Average UK brick weighs 2.13 kg per brick [Source: The Brick Development Association].",Bricks & Block,2000,0.178704637
2062,Bronze : General,Average of the only two references,Metal - Other,8700,4
2063,Carpet : General Carpet,"TBC DENSITY VALUE BASED ON 20mm FINISHES.  / For per square meter estimates see material profile. Difficult to estimate, taken from Ref. 94. ",Carpet,75,3.9
2064,Carpet : Felt (Hair and Jute) Underlay,TBC DENSITY VALUE BASED ON 20mm FINISHES.  / ,Carpet,75,0.97
2065,"Carpet : Nylon (Polyamide), pile weight 300 g/m2","TBC DENSITY VALUE BASED ON 20mm FINISHES.  / Total weight of this carpet 1,477 g/m2. See Refs. 277 & 279. These carpets (inc. below) are a tufted surface pile made of 100% nylon (polyamide) with a woven textile backing and flame proofed on the basis of aluminium hydroxide.",Carpet,73.85,6.7
2066,"Carpet : Nylon (Polyamide), pile weight 500 g/m2","TBC DENSITY VALUE BASED ON 20mm FINISHES.  / Total weight of this carpet 1,837 g/m2. See Refs. 277 & 279. ",Carpet,68.65,9.7
2067,"Carpet : Nylon (Polyamide), pile weight 700 g/m2","TBC DENSITY VALUE BASED ON 20mm FINISHES.  / Total weight of this carpet 2,147 g/m2. See Refs. 277 & 279. ",Carpet,107.35,12.7
2068,"Carpet : Nylon (Polyamide), pile weight 900 g/m2","TBC DENSITY VALUE BASED ON 20mm FINISHES.  / Total weight of this carpet 2,427 g/m2. See Refs. 277 & 279. ",Carpet,121.35,15.6
2069,"Carpet : Nylon (Polyamide), pile weight 1100 g/m2","TBC DENSITY VALUE BASED ON 20mm FINISHES.  / Total weight of this carpet 2,677 g/m2. See Refs. 277 & 279. ",Carpet,133.85,18.4
2070,"Carpet : Carpet tiles, nylon (Polyamide), pile weight 300 g/m2","TBC DENSITY VALUE BASED ON 20mm FINISHES.  / Total weight of this carpet 4,123 g/m2. See Refs. 277 & 279. These carpet tiles (inc. below) are a tufted surface pile made of 100% nylon (polyamide) fleece-covered bitumen backing and flame-proofed on the basis of aluminium hydroxide",Carpet,206.15,7.75
2071,"Carpet : Carpet tiles, nylon (Polyamide), pile weight 500 g/m2","TBC DENSITY VALUE BASED ON 20mm FINISHES.  / Total weight of this carpet 4,373 g/m2. See Refs. 277 & 279. ",Carpet,218.65,10.7
2072,"Carpet : Carpet tiles, nylon (Polyamide), pile weight 700 g/m2","TBC DENSITY VALUE BASED ON 20mm FINISHES.  / Total weight of this carpet 4,623 g/m2. See Refs. 277 & 279. ",Carpet,231.15,13.7
2073,"Carpet : Carpet tiles, nylon (Polyamide), pile weight 900 g/m2","TBC DENSITY VALUE BASED ON 20mm FINISHES.  / Total weight of this carpet 4,873 g/m2. See Refs. 277 & 279. ",Carpet,243.65,16.7
2074,"Carpet : Carpet tiles, nylon (Polyamide), pile weight 1100 g/m2","TBC DENSITY VALUE BASED ON 20mm FINISHES.  / Total weight of this carpet 5,123 g/m2. See Refs. 277 & 279. ",Carpet,256.15,19.7
